Business_Name,Business_Address,License_Type,City,State,Latitude,Longitude,,,
DOC'S DISCOUNT LIQUORS,1025 S FEDERAL BLVD,Retail,Denver,CO,39.6978691,-105.0255607,,,
WINES OFF WYNKOOP,1610 16TH ST,Retail,None,None,39.7512659,-105.0005438,,,
EL NOA NOA MEXICAN RESTAURANT,722 SANTA FE DR,Hotel / Restaurant,Denver,CO,39.7277702,-104.9983527,,,
BONEFISH GRILL #6602,8100 W CRESTLINE AVE UNIT F ,Hotel / Restaurant,Denver,CO,39.6171659,-105.0892107,,,
CONTINENTAL 10,3635 S MONACO STREET ,Hotel / Restaurant,Denver,CO,39.6375141,-104.9131042,,,
KING SOOPERS #56,2727 W EVANS AVE,Retail,None,None,39.6793869,-105.0210755,,,
IRONTON DISTILLERY & CRAFTHOUSE,3636 CHESTNUT PL,Brewery / Distillery,Denver,CO,39.7729117,-104.9784517,,,
GOPUFF,209 N YUMA ,Retail,Denver,CO,39.7208004,-105.0155592,,,
THE BERKSHIRE,7352 E 29TH AVE,Hotel / Restaurant,Denver,CO,39.7579042,-104.901967,,,
SEVENTEETH STREET LIQOURS,2001 E 17TH AVE,Retail,Denver,CO,39.743431,-104.9632766,,,
FORESTER LIQUORS LLC,1455 S PEARL ST,Retail,Denver,CO,39.6902856,-104.9806654,,,
7-ELEVEN STORE 36697A,5090 N FEDERAL BLVD,Retail,Denver,CO,39.7889567,-105.0246915,,,
MODERN MARKET,900 16TH STUNIT A ,Hotel / Restaurant,Denver,CO,39.7465895,-104.9943332,,,
DANDY DANS,214 S FEDERAL BLVD,Tavern,None,None,39.7125436,-105.0246705,,,
SCOOTER LIQUORS,1515 E COLFAX AVE,Retail,Denver,CO,39.7402432,-104.9692552,,,
WEDONTWASTE INC,1400 LARIMER ST,Special Events,Denver,CO,39.7472451,-104.9994596,,,
OLD MAJOR,3316 N TEJON  102 ,Hotel / Restaurant,Denver,CO,38.8355484,-104.8236416,,,
"SUMMER CAMP, LLC",3244 N NAVAJO ST,Retail,Denver,CO,39.762901,-105.003798,,,
EVERYDAY STORES,4595 PECOS ST,Retail,None,None,39.7799433,-105.007013,,,
TINO'S DELLA RADICE,2955 N ULSTER STUNIT 100 ,Tavern,Denver,CO,39.7595232,-104.8946704,,,
SATCHEL'S ON 6TH,1710 E 6TH AVE,Hotel / Restaurant,Denver,CO,39.7254095,-104.9667451,,,
CHAFFEE PARK LIQUORS,4836 N PECOS ST,Retail,Denver,CO,39.7845178,-105.00586,,,
TACOS EL PAISA,1920 N FEDERAL BLVD,Hotel / Restaurant,Denver,CO,39.7469048,-105.0248984,,,
STOWAWAY COFFEE & KITCHEN,2528 WALNUT STUNIT 104 ,Hotel / Restaurant,Denver,CO,39.7585606,-104.9865533,,,
MY GOODS MARKET  #6509,1696 S COLORADO BLVD,Retail,Denver,CO,39.6859412,-104.9403173,,,
THE CHERRY CREEK NORTH FOUNDATION,150 N FILLMORE ST,Special Events,Denver,CO,39.7195022,-104.9534101,,,
EL CAMINO TAVERN,3628 W 32ND AVE,Tavern,Denver,CO,39.7620009,-105.0353997,,,
ROYAL WINE & SPIRITS,2239 E BRUCE RANDOLPH AVE,Retail,Denver,CO,39.7646958,-104.9601049,,,
7-ELEVEN STORE 35995B,1600 E EVANS AVE,Retail,Denver,CO,39.678228,-104.9683424,,,
THE WAY BACK,3963 TENNYSON ST,Hotel / Restaurant,Denver,CO,39.7723104,-105.0443488,,,
FROZEN MATTER,530 E 19TH ,Tavern,Denver,CO,39.7460588,-104.980614,,,
LOGAN LIQUORS,100 S LOGAN ST,Retail,None,None,39.7145105,-104.982377,,,
MOZART'S DENVER,1417 KRAMERIA ST,Tavern,Denver,CO,39.7387495,-104.9163888,,,
NOSTRUM NON PROFIT,5138 W 29TH AVE,Special Events,Denver,CO,39.7582882,-105.0530702,,,
"GLYNN GLENN LLC, DBA CORKS",1600 PLATTE ST,Retail,Denver,CO,39.7573942,-105.0080783,,,
10,1437 MARKET ST,Tavern,Denver,CO,39.7486278,-105.000112,,,
HUNGER FREE COLORADO,1302 E 6TH AVE,Special Events,Denver,CO,39.7254105,-104.9714857,,,
P&S LOUNGE,3416 E COLFAX AVE,Tavern,Denver,CO,39.7399059,-104.9468224,,,
CIRCLE K STORE #2709900,1300 W COLFAX AVE,Retail,Denver,CO,39.7396556,-105.0039652,,,
WAHOO'S FISH TACO,6300 E HAMPDEN AVE UNIT A ,Hotel / Restaurant,Denver,CO,39.6518355,-104.9161395,,,
YOUTH ON RECORD,222 N DETROIT ST,Special Events,Denver,CO,39.7199448,-104.954213,,,
SPIN ENTERPRISES INCORPERATED,2155 S SHERIDAN BLVD,Special Events,Denver,CO,39.6778035,-105.0566547,,,
EL RIO GRANDE RESTAURANT & CANTINA,1050 W EVANS AVE,Tavern,Denver,CO,39.6783043,-105.0004459,,,
7-ELEVEN STORE 23664A,2396 S FEDERAL BLVD,Retail,Denver,CO,39.6737255,-105.0245563,,,
JMF CORPORATION,2100 CURTIS ST,Special Events,Denver,CO,39.7518244,-104.9883791,,,
DEVOUR THE 303,1135 E EVANS AVE,Hotel / Restaurant,Denver,CO,39.6786742,-104.9737964,,,
CONNOISSEUR ENCOUTNERS COMPANY INC,1920 MARKET ST,Retail,Denver,CO,39.7528158,-104.993984,,,
CORKS,1620 PLATTE ST,Retail,Denver,CO,39.7571682,-105.0074367,,,
DRAGON 5280,4700 W BYRON PL,Special Events,Denver,CO,39.750565,-105.048275,,,
